file,pmcid,image_type:radiology~anatomical_region:axial_region,image_type:electrography,image_type:radiology~anatomical_region:axial_region.abdomen,image_type,image_type:pathology,image_type:radiology~anatomical_region,image_type:medical_photograph,image_type:ophthalmic_imaging,image_type:radiology.ultrasound,image_type:endoscopy,image_type:radiology~anatomical_view,image_type:radiology~anatomical_region:upper_limb,image_type:radiology~attribute_angiography,image_type:radiology~contrast_status,image_type:radiology~main,image_type:radiology~anatomical_region:lower_limb,image_type:radiology~anatomical_region:axial_region.thorax,modified_label
PMC10004274_fonc-13-1123378-g002_undivided_1_1.webp,PMC10004274,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10004274_fonc-13-1123378-g004_undivided_1_1.webp,PMC10004274,,,,chart,,,,,,,,,,,,,,False
PMC10007703_PAMJ-43-189-g001_A_1_2.webp,PMC10007703,,,,radiology,,upper_limb,,,,,frontal,upper_arm,angiography,contrast,ct,,,False
PMC10007703_PAMJ-43-189-g001_B_2_2.webp,PMC10007703,,,,radiology,,upper_limb,,,,,sagittal,forearm,no_angiography,contrast,x_ray,,,True
PMC10007703_PAMJ-43-189-g002_A_1_2.webp,PMC10007703,neck,,,radiology,,axial_region,,,,,sagittal,,angiography,contrast,ct,,,False
PMC10007703_PAMJ-43-189-g002_B_2_2.webp,PMC10007703,pelvis,,,radiology,,axial_region,,,,,sagittal,,angiography,contrast,ct,,,False
PMC10007703_PAMJ-43-189-g003_A_1_2.webp,PMC10007703,,,,radiology,,upper_limb,,,,,frontal,forearm,no_angiography,contrast,x_ray,,,False
PMC10007703_PAMJ-43-189-g003_B_2_2.webp,PMC10007703,,,,radiology,,upper_limb,,,,,oblique,hand,no_angiography,contrast,x_ray,,,False
PMC10007704_PAMJ-43-188-g001_undivided_1_1.webp,PMC10007704,thorax,,,radiology,,axial_region,,,no_doppler,,transesophageal,,no_angiography,contrast,ultrasound,,cardiac_image,True
PMC10007704_PAMJ-43-188-g002_undivided_1_1.webp,PMC10007704,thorax,,,radiology,,axial_region,,,no_doppler,,transthoracic,,angiography,contrast,ultrasound,,cardiac_image,False
PMC10008024_IMCRJ-16-117-g0002_undivided_1_1.webp,PMC10008024,pelvis,,,radiology,,axial_region,,,,,sagittal,,no_angiography,contrast,mri,,,False
PMC10008024_IMCRJ-16-117-g0003_undivided_1_1.webp,PMC10008024,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10008024_IMCRJ-16-117-g0004_undivided_1_1.webp,PMC10008024,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10008024_IMCRJ-16-117-g0005_undivided_1_1.webp,PMC10008024,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10008137_JRI-24-63-g002_A_1_3.webp,PMC10008137,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10008137_JRI-24-63-g002_B_2_3.webp,PMC10008137,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10008137_JRI-24-63-g002_C_3_3.webp,PMC10008137,thorax,,,radiology,,axial_region,,,,,frontal,,angiography,contrast,ct,,cardiac_image,False
PMC10008422_CCID-16-593-g0001_undivided_1_1.webp,PMC10008422,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10008422_CCID-16-593-g0002_a_1_2.webp,PMC10008422,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10008422_CCID-16-593-g0002_b_2_2.webp,PMC10008422,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10008953_fendo-14-1095815-g001_undivided_1_1.webp,PMC10008953,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10008953_fendo-14-1095815-g002_undivided_1_1.webp,PMC10008953,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10008953_fendo-14-1095815-g003_A_1_1.webp,PMC10008953,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10009052_gr1_undivided_1_1.webp,PMC10009052,thorax,,,radiology,,axial_region,,,,,frontal,,no_angiography,contrast,x_ray,,other_thoracic_image,False
PMC10009052_gr2_undivided_1_1.webp,PMC10009052,thorax,,,radiology,,axial_region,,,,,axial,,angiography,without_contrast,ct,,other_thoracic_image,False
PMC10009052_gr3_right_1_1.webp,PMC10009052,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10009052_gr4_undivided_1_1.webp,PMC10009052,thorax,,,radiology,,axial_region,,,,,axial,,no_angiography,contrast,ct,,other_thoracic_image,False
PMC10009172_fsurg-10-1140016-g002_undivided_1_1.webp,PMC10009172,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10009172_fsurg-10-1140016-g003_undivided_1_1.webp,PMC10009172,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010119_IJWH-15-355-g0002_undivided_1_1.webp,PMC10010119,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10010119_IJWH-15-355-g0003_undivided_1_1.webp,PMC10010119,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10010119_IJWH-15-355-g0004_undivided_1_1.webp,PMC10010119,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0001_A_1_3.webp,PMC10010120,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0001_B_2_3.webp,PMC10010120,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0001_C_3_3.webp,PMC10010120,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0003_A_1_3.webp,PMC10010120,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0003_B_2_3.webp,PMC10010120,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0003_C_3_3.webp,PMC10010120,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0004_A_1_4.webp,PMC10010120,,,,pathology,fish,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0004_B_2_4.webp,PMC10010120,,,,pathology,fish,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0004_C_3_4.webp,PMC10010120,,,,pathology,fish,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0004_D_4_4.webp,PMC10010120,,,,pathology,fish,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0005_A_1_3.webp,PMC10010120,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0005_B_2_3.webp,PMC10010120,,,,pathology,fish,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0005_C_3_3.webp,PMC10010120,,,,pathology,fish,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0006_undivided_1_1.webp,PMC10010120,thorax,,,radiology,,axial_region,,,,,frontal,,no_angiography,contrast,x_ray,,other_thoracic_image,False
PMC10010120_IMCRJ-16-129-g0007_A_1_4.webp,PMC10010120,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0007_B_2_4.webp,PMC10010120,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0007_C_3_4.webp,PMC10010120,,,,pathology,fish,,,,,,,,,,,,,False
PMC10010120_IMCRJ-16-129-g0007_D_4_4.webp,PMC10010120,,,,pathology,methylene_blue,,,,,,,,,,,,,False
PMC10010164_fonc-13-1105080-g001_undivided_1_1.webp,PMC10010164,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010164_fonc-13-1105080-g003_undivided_1_1.webp,PMC10010164,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g001_a_1_2.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g001_b_2_2.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g002_a_1_4.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g002_b_2_4.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,True
PMC10010577_JWACS-13-103-g002_c_3_4.webp,PMC10010577,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g002_d_4_4.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g004_a_1_4.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g004_b_2_4.webp,PMC10010577,abdomen,,cholangiogram,radiology,,axial_region,,,,,frontal,,angiography,contrast,ct,,,False
PMC10010577_JWACS-13-103-g004_c_3_4.webp,PMC10010577,,,,medical_photograph,,,oral_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g004_d_4_4.webp,PMC10010577,abdomen,,cholangiogram,radiology,,axial_region,,,,,sagittal,,angiography,contrast,ct,,,False
PMC10010577_JWACS-13-103-g005_a_1_4.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g005_b_2_4.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010577_JWACS-13-103-g005_c_3_4.webp,PMC10010577,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,True
PMC10010577_JWACS-13-103-g005_d_4_4.webp,PMC10010577,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010583_JWACS-13-111-g001_undivided_1_1.webp,PMC10010583,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010583_JWACS-13-111-g002_undivided_1_1.webp,PMC10010583,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010583_JWACS-13-111-g003_undivided_1_1.webp,PMC10010583,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010583_JWACS-13-111-g004_undivided_1_1.webp,PMC10010583,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010588_JWACS-13-106-g001_undivided_1_1.webp,PMC10010588,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010588_JWACS-13-106-g002_undivided_1_1.webp,PMC10010588,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010588_JWACS-13-106-g003_undivided_1_1.webp,PMC10010588,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010588_JWACS-13-106-g004_undivided_1_1.webp,PMC10010588,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010588_JWACS-13-106-g005_A_1_3.webp,PMC10010588,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010588_JWACS-13-106-g005_B_2_3.webp,PMC10010588,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010588_JWACS-13-106-g005_C_3_3.webp,PMC10010588,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010593_JWACS-13-98-g005_A_1_6.webp,PMC10010593,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010593_JWACS-13-98-g005_B_2_6.webp,PMC10010593,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10010593_JWACS-13-98-g005_C_3_6.webp,PMC10010593,abdomen,,no_cholangiogram,radiology,,axial_region,,,,,sagittal,,angiography,contrast,mri,,,True
PMC10010593_JWACS-13-98-g005_D_4_6.webp,PMC10010593,,,,medical_photograph,,,oral_photograph,,,,,,,,,,,False
PMC10010593_JWACS-13-98-g005_E_5_6.webp,PMC10010593,,,,medical_photograph,,,oral_photograph,,,,,,,,,,,False
PMC10010593_JWACS-13-98-g005_F_6_6.webp,PMC10010593,,,,medical_photograph,,,oral_photograph,,,,,,,,,,,False
PMC10011097_fped-11-1083168-g001_A_1_2.webp,PMC10011097,thorax,,,radiology,,axial_region,,,,,axial,,no_angiography,contrast,ct,,other_thoracic_image,False
PMC10011097_fped-11-1083168-g001_B_2_2.webp,PMC10011097,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10011097_fped-11-1083168-g002_A_1_2.webp,PMC10011097,thorax,,,radiology,,axial_region,,,,,axial,,no_angiography,contrast,ct,,other_thoracic_image,False
PMC10011097_fped-11-1083168-g002_B_2_2.webp,PMC10011097,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10011424_gr1_undivided_1_1.webp,PMC10011424,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10011424_gr2_undivided_1_1.webp,PMC10011424,thorax,,,radiology,,axial_region,,,no_doppler,,transesophageal,,no_angiography,contrast,ultrasound,,cardiac_image,False
PMC10011424_gr4_undivided_1_1.webp,PMC10011424,thorax,,,radiology,,axial_region,,,no_doppler,,transesophageal,,no_angiography,contrast,ultrasound,,cardiac_image,True
PMC10011480_fimmu-14-1127085-g001_G_1_1.webp,PMC10011480,,,,pathology,giemsa,,,,,,,,,,,,,False
PMC10011612_fped-11-1115788-g001_A_1_2.webp,PMC10011612,thorax,,,radiology,,axial_region,,,,,axial,,no_angiography,without_contrast,ct,,other_thoracic_image,False
PMC10011612_fped-11-1115788-g001_B_2_2.webp,PMC10011612,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10011612_fped-11-1115788-g002_A_1_3.webp,PMC10011612,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10011612_fped-11-1115788-g002_B_2_3.webp,PMC10011612,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,True
PMC10011612_fped-11-1115788-g002_C_3_3.webp,PMC10011612,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10011616_fendo-14-1153374-g001_A_1_5.webp,PMC10011616,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10011616_fendo-14-1153374-g001_B_2_5.webp,PMC10011616,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10011616_fendo-14-1153374-g001_C_3_5.webp,PMC10011616,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10011616_fendo-14-1153374-g001_D_4_5.webp,PMC10011616,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10011616_fendo-14-1153374-g001_E_5_5.webp,PMC10011616,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10012016_ABR-12-21-g001_undivided_1_1.webp,PMC10012016,,,,radiology,,upper_limb,,,,,frontal,shoulder,no_angiography,contrast,x_ray,,,False
PMC10012016_ABR-12-21-g002_undivided_1_1.webp,PMC10012016,,,,radiology,,upper_limb,,,,,frontal,shoulder,no_angiography,contrast,x_ray,,,False
PMC10012016_ABR-12-21-g003_undivided_1_1.webp,PMC10012016,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10012016_ABR-12-21-g004_undivided_1_1.webp,PMC10012016,,,,radiology,,upper_limb,,,,,frontal,upper_arm,no_angiography,contrast,x_ray,,,False
PMC10012018_ABR-12-18-g001_a_1_3.webp,PMC10012018,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10012018_ABR-12-18-g001_b_2_3.webp,PMC10012018,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10012018_ABR-12-18-g001_c_3_3.webp,PMC10012018,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10012018_ABR-12-18-g002_undivided_1_1.webp,PMC10012018,,,,chart,,,,,,,,,,,,,,False
PMC10012166_acc-10-01-29-g001_undivided_1_1.webp,PMC10012166,thorax,,,radiology,,axial_region,,,,,axial,,angiography,without_contrast,ct,,other_thoracic_image,False
PMC10012167_acc-10-01-32-g001_undivided_1_1.webp,PMC10012167,,ekg,,electrography,,,,,,,,,,,,,,False
PMC10012167_acc-10-01-32-g003_undivided_1_1.webp,PMC10012167,,,,chart,,,,,,,,,,,,,,False
PMC10012167_acc-10-01-32-g004_A_1_4.webp,PMC10012167,thorax,,,radiology,,axial_region,,,,,sagittal,,angiography,contrast,mri,,cardiac_image,False
PMC10012167_acc-10-01-32-g004_B_2_4.webp,PMC10012167,thorax,,,radiology,,axial_region,,,,,transthoracic,,no_angiography,contrast,mri,,cardiac_image,True
PMC10012167_acc-10-01-32-g004_C_3_4.webp,PMC10012167,thorax,,,radiology,,axial_region,,,,,sagittal,,angiography,contrast,mri,,cardiac_image,False
PMC10012167_acc-10-01-32-g004_D_4_4.webp,PMC10012167,thorax,,,radiology,,axial_region,,,,,sagittal,,no_angiography,contrast,mri,,cardiac_image,False
PMC10012974_TJTCS-2023-31-1-128-130-F1_undivided_1_1.webp,PMC10012974,thorax,,,radiology,,axial_region,,,,,frontal,,no_angiography,contrast,x_ray,,other_thoracic_image,False
PMC10012987_TJTCS-2023-31-1-123-127-F3_a_1_4.webp,PMC10012987,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10012987_TJTCS-2023-31-1-123-127-F3_b_2_4.webp,PMC10012987,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10012987_TJTCS-2023-31-1-123-127-F3_c_3_4.webp,PMC10012987,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10012987_TJTCS-2023-31-1-123-127-F3_d_4_4.webp,PMC10012987,thorax,,,radiology,,axial_region,,,,,oblique,,angiography,contrast,ct,,cardiac_image,False
PMC10012991_TJTCS-2023-31-1-136-142-F1_a_1_6.webp,PMC10012991,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10012991_TJTCS-2023-31-1-136-142-F1_b_2_6.webp,PMC10012991,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10012991_TJTCS-2023-31-1-136-142-F1_c_3_6.webp,PMC10012991,breast,,,radiology,,axial_region,,,,,axial,,no_angiography,contrast,pet,,,False
PMC10012991_TJTCS-2023-31-1-136-142-F1_d_4_6.webp,PMC10012991,breast,,,radiology,,axial_region,,,,,axial,,angiography,contrast,pet,,,False
PMC10012991_TJTCS-2023-31-1-136-142-F1_e_5_6.webp,PMC10012991,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10012991_TJTCS-2023-31-1-136-142-F1_f_6_6.webp,PMC10012991,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10012991_TJTCS-2023-31-1-136-142-F3_a_1_4.webp,PMC10012991,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,other_thoracic_image,False
PMC10012991_TJTCS-2023-31-1-136-142-F3_b_2_4.webp,PMC10012991,thorax,,,radiology,,axial_region,,,,,axial,,angiography,contrast,ct,,cardiac_image,False
PMC10012991_TJTCS-2023-31-1-136-142-F3_c_3_4.webp,PMC10012991,abdomen,,cholangiogram,radiology,,axial_region,,,,,axial,,no_angiography,contrast,pet,,,False
PMC10012991_TJTCS-2023-31-1-136-142-F3_d_4_4.webp,PMC10012991,thorax,,,radiology,,axial_region,,,,,axial,,no_angiography,contrast,pet,,cardiac_image,False
PMC10013424_ICRP_A_2185621_F0001_C_undivided_1_1.webp,PMC10013424,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013424_ICRP_A_2185621_F0003_C_undivided_1_1.webp,PMC10013424,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013424_ICRP_A_2185621_F0004_C_undivided_1_1.webp,PMC10013424,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013424_ICRP_A_2185621_F0005_C_undivided_1_1.webp,PMC10013424,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g002_A_1_6.webp,PMC10013465,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g002_B_2_6.webp,PMC10013465,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g002_C_3_6.webp,PMC10013465,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g002_D_4_6.webp,PMC10013465,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g002_E_5_6.webp,PMC10013465,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g002_F_6_6.webp,PMC10013465,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g003_A_1_3.webp,PMC10013465,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10013465_fonc-13-1111146-g003_B_2_3.webp,PMC10013465,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,True
PMC10013465_fonc-13-1111146-g003_C_3_3.webp,PMC10013465,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10013466_1678-9946-rimtsp-65-S1678-9946202365015-gf02_undivided_1_1.webp,PMC10013466,,,,chart,,,,,,,,,,,,,,False
PMC10013991_1984-0462-rpp-41-e2022027-gf3_undivided_1_1.webp,PMC10013991,abdomen,,no_cholangiogram,radiology,,axial_region,,,doppler,,transabdominal,,no_angiography,contrast,ultrasound,,,True
PMC10014019_1984-0462-rpp-41-e2021390-gf1_undivided_1_1.webp,PMC10014019,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10014019_1984-0462-rpp-41-e2021390-gf2_undivided_1_1.webp,PMC10014019,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10014019_1984-0462-rpp-41-e2021390-gf3_undivided_1_1.webp,PMC10014019,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10014019_1984-0462-rpp-41-e2021390-gf4_undivided_1_1.webp,PMC10014019,,,,medical_photograph,,,skin_photograph,,,,,,,,,,,False
PMC10014288_gr1_undivided_1_1.webp,PMC10014288,,,,radiology,,lower_limb,,,,,sagittal,,no_angiography,without_contrast,mri,thigh,,False
PMC10014422_AMS2-10-e828-g001_undivided_1_1.webp,PMC10014422,,,,pathology,fish,,,,,,,,,,,,,False
PMC10014590_fped-11-1067131-g001_B_1_1.webp,PMC10014590,,,,chart,,,,,,,,,,,,,,False
PMC10014590_fped-11-1067131-g003_undivided_1_1.webp,PMC10014590,,,,chart,,,,,,,,,,,,,,False
PMC10014623_fped-11-1144384-g001_A_1_2.webp,PMC10014623,thorax,,,radiology,,axial_region,,,,,frontal,,no_angiography,contrast,x_ray,,other_thoracic_image,False
PMC10014623_fped-11-1144384-g001_B_2_2.webp,PMC10014623,thorax,,,radiology,,axial_region,,,,,frontal,,no_angiography,contrast,x_ray,,other_thoracic_image,False
PMC10014623_fped-11-1144384-g004_A_1_2.webp,PMC10014623,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10014623_fped-11-1144384-g004_B_2_2.webp,PMC10014623,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10014717_fgene-14-1063202-g002_A_1_6.webp,PMC10014717,,,,pathology,immunostaining,,,,,,,,,,,,,False
PMC10014717_fgene-14-1063202-g002_B_2_6.webp,PMC10014717,,,,chart,,,,,,,,,,,,,,False
PMC10014717_fgene-14-1063202-g002_C_3_6.webp,PMC10014717,,,,pathology,masson_trichrome,,,,,,,,,,,,,False
PMC10014717_fgene-14-1063202-g002_D_4_6.webp,PMC10014717,,,,chart,,,,,,,,,,,,,,False
PMC10014717_fgene-14-1063202-g002_E_5_6.webp,PMC10014717,,,,chart,,,,,,,,,,,,,,False
PMC10014717_fgene-14-1063202-g002_F_6_6.webp,PMC10014717,,,,chart,,,,,,,,,,,,,,False
PMC10014732_fonc-13-1059815-g001_A_1_5.webp,PMC10014732,,,,endoscopy,,,,,,ig_endoscopy,,,,,,,,False
PMC10014732_fonc-13-1059815-g001_B_2_5.webp,PMC10014732,,,,endoscopy,,,,,,ig_endoscopy,,,,,,,,False
PMC10014732_fonc-13-1059815-g001_C_3_5.webp,PMC10014732,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,True
PMC10014732_fonc-13-1059815-g001_D_4_5.webp,PMC10014732,,,,endoscopy,,,,,,ig_endoscopy,,,,,,,,False
PMC10014732_fonc-13-1059815-g001_E_5_5.webp,PMC10014732,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10014735_fneur-14-1100931-g0002_A_1_2.webp,PMC10014735,,ekg,,electrography,,,,,,,,,,,,,,False
PMC10014735_fneur-14-1100931-g0002_B_2_2.webp,PMC10014735,,,,chart,,,,,,,,,,,,,,False
PMC10014783_fmed-10-1135178-g0002_A_1_2.webp,PMC10014783,,,,radiology,,lower_limb,,,doppler,,periapical,,no_angiography,contrast,ultrasound,knee,,False
PMC10014783_fmed-10-1135178-g0002_B_2_2.webp,PMC10014783,,,,radiology,,lower_limb,,,,,sagittal,,angiography,contrast,x_ray,knee,,False
PMC10014783_fmed-10-1135178-g0003_C_1_1.webp,PMC10014783,,,,chart,,,,,,,,,,,,,,False
PMC10016092_fonc-13-1054978-g001_A_1_3.webp,PMC10016092,pelvis,,,radiology,,axial_region,,,no_doppler,,transabdominal,,no_angiography,contrast,ultrasound,,,False
PMC10016092_fonc-13-1054978-g001_B_2_3.webp,PMC10016092,pelvis,,,radiology,,axial_region,,,,,axial,,no_angiography,contrast,ct,,,False
